x = -2147483637, byte = 44
x = -2147483636, byte = 48
x = -2147483635, byte = 52
x = -2147483634, byte = 56
x = -2147483633, byte = 60
x = -2147483632, byte = 64
x = -2147483631, byte = 68
x = -2147483630, byte = 72
x = -2147483629, byte = 76
x = -2147483628, byte = 80
x = -2147483627, byte = 84
x = -2147483626, byte = 88
x = -2147483625, byte = 92
x = -2147483624, byte = 96
x = -2147483623, byte = 100
x = -2147483622, byte = 104
x = -2147483621, byte = 108
x = -2147483620, byte = 112
x = -2147483619, byte = 116
x = -2147483618, byte = 120
x = -2147483617, byte = 124
x = -2147483616, byte = 128
x = -2147483615, byte = 132
x = -2147483614, byte = 136
x = -2147483613, byte = 140
x = -2147483612, byte = 144
x = -2147483611, byte = 148
x = -2147483610, byte = 152
x = -2147483609, byte = 156
x = -2147483608, byte = 160
x = -2147483607, byte = 164
x = -2147483606, byte = 168
x = -2147483605, byte = 172
x = -2147483604, byte = 176
x = -2147483603, byte = 180
x = -2147483602, byte = 184
x = -2147483601, byte = 188
x = -2147483600, byte = 192
x = -2147483599, byte = 196
x = -2147483598, byte = 200
x = -2147483597, byte = 204
x = -2147483596, byte = 208
x = -2147483595, byte = 212
x = -2147483594, byte = 216
x = -2147483593, byte = 220
x = -2147483592, byte = 224
x = -1073741813, byte = 44
x = -1073741812, byte = 48
x = -1073741811, byte = 52
x = -1073741810, byte = 56
x = -1073741809, byte = 60
x = -1073741808, byte = 64
x = -1073741807, byte = 68
x = -1073741806, byte = 72
x = -1073741805, byte = 76
x = -1073741804, byte = 80
x = -1073741803, byte = 84
x = -1073741802, byte = 88
x = -1073741801, byte = 92
x = -1073741800, byte = 96
x = -1073741799, byte = 100
x = -1073741798, byte = 104
x = -1073741797, byte = 108
x = -1073741796, byte = 112
x = -1073741795, byte = 116
x = -1073741794, byte = 120
x = -1073741793, byte = 124
x = -1073741792, byte = 128
x = -1073741791, byte = 132
x = -1073741790, byte = 136
x = -1073741789, byte = 140
x = -1073741788, byte = 144
x = -1073741787, byte = 148
x = -1073741786, byte = 152
x = -1073741785, byte = 156
x = -1073741784, byte = 160
x = -1073741783, byte = 164
x = -1073741782, byte = 168
x = -1073741781, byte = 172
x = -1073741780, byte = 176
x = -1073741779, byte = 180
x = -1073741778, byte = 184
x = -1073741777, byte = 188
x = -1073741776, byte = 192
x = -1073741775, byte = 196
x = -1073741774, byte = 200
x = -1073741773, byte = 204
x = -1073741772, byte = 208
x = -1073741771, byte = 212
x = -1073741770, byte = 216
x = -1073741769, byte = 220
x = -1073741768, byte = 224
